time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-17T05:11:43.550Z,12.5638,-87.7951,71.9,4.5,mb,,147,0.756,0.98,us,usb000qs8f,2014-05-17T05:59:11.000Z,"42km WSW of Jiquilillo, Nicaragua",earthquake
2014-05-17T03:08:42.600Z,9.7354,143.3878,15.52,4.6,mb,,232,4.095,0.41,us,usb000qs6a,2014-05-17T04:04:41.598Z,"176km NW of Faraulep, Micronesia",earthquake
2014-05-16T21:20:24.580Z,-4.9117,102.9928,65.82,5,mb,,83,0.548,0.79,us,usb000qrx0,2014-05-17T05:22:57.696Z,"86km W of Kuripan, Indonesia",earthquake
2014-05-16T21:11:29.240Z,-10.3806,-13.2346,10,5.1,mb,,54,2.674,0.66,us,usb000qrwx,2014-05-17T05:14:01.600Z,"300km SSE of Georgetown, Saint Helena",earthquake
2014-05-16T17:29:20.580Z,-2.4862,138.9358,23.85,4.8,mb,,67,6.693,0.9,us,usb000qre6,2014-05-17T01:32:01.610Z,"183km W of Abepura, Indonesia",earthquake
2014-05-16T17:08:32.480Z,-23.4549,-68.5776,102.66,5.5,mwr,,28,0.857,1.44,us,usb000qrc9,2014-05-17T02:56:34.000Z,"70km SSW of San Pedro de Atacama, Chile",earthquake
2014-05-16T16:52:24.430Z,17.0486,-60.4409,10,4.7,mb,,129,1.873,1,us,usb000qrak,2014-05-17T00:54:59.096Z,"106km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T16:26:48.230Z,-36.6425,-73.5146,11.86,4.8,mb,,164,0.441,0.83,us,usb000qr8t,2014-05-17T00:29:30.520Z,"36km WNW of Talcahuano, Chile",earthquake
2014-05-16T12:34:53.000Z,17.0878,-60.3165,10,4.6,mb,,99,1.517,0.72,us,usb000qqpi,2014-05-16T20:37:33.473Z,"118km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T12:30:21.240Z,17.1053,-60.4059,10,4.8,mb,,47,1.431,0.82,us,usb000qqpa,2014-05-16T20:32:54.593Z,"113km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T11:26:29.800Z,51.6567,157.3864,146.27,4.7,mb,,125,1.466,0.92,us,usb000qqn2,2014-05-16T19:29:05.007Z,"62km ENE of Ozernovskiy, Russia",earthquake
2014-05-16T11:12:04.250Z,17.0948,-60.3438,10,5,mb,,84,1.49,0.77,us,usb000qqm7,2014-05-16T19:14:43.465Z,"117km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T11:01:42.960Z,17.0865,-60.3898,24.48,6,mwp,,28,1.453,0.75,us,usb000qqlq,2014-05-16T19:04:24.981Z,"113km NE of Grande Anse, Guadeloupe",earthquake
2014-05-16T10:13:29.520Z,-16.3348,-173.2069,16.66,4.7,mb,,57,2.778,1.05,us,usb000qql8,2014-05-16T18:16:05.388Z,"72km SE of Hihifo, Tonga",earthquake
2014-05-16T10:02:07.720Z,51.4903,-174.784,39.33,4.7,mb,,174,0.8,1.09,us,usb000qqku,2014-05-16T22:10:32.152Z,"88km SSW of Atka, Alaska",earthquake
2014-05-16T08:01:22.740Z,-10.0331,-74.1456,138.22,4.6,mb,,108,3.283,0.88,us,usb000qqhv,2014-05-16T16:04:04.096Z,"145km NNE of Satipo, Peru",earthquake
2014-05-16T06:32:10.430Z,29.4795,67.7386,17.18,4.9,mb,,99,5.166,0.79,us,usb000qqg4,2014-05-16T14:35:08.111Z,"8km E of Dadhar, Pakistan",earthquake
2014-05-16T00:40:15.780Z,-22.4772,173.0652,7.74,5.7,mwp,,20,6.145,0.71,us,usb000qqbk,2014-05-16T13:56:32.000Z,"104km E of Ile Hunter, New Caledonia",earthquake
2014-05-15T22:43:18.260Z,-7.6061,-79.3675,66.51,5.1,mb,,68,5.014,0.85,us,usb000qpp0,2014-05-16T04:46:02.026Z,"15km NNW of Paijan, Peru",earthquake
2014-05-15T16:33:04.790Z,-15.7851,-172.5708,8.37,5,mb,,60,2.016,0.87,us,usb000qnyu,2014-05-16T04:49:09.927Z,"127km E of Hihifo, Tonga",earthquake
2014-05-15T10:16:41.780Z,9.3763,122.0681,13.99,6.2,mwp,,19,6.678,0.97,us,usb000qniy,2014-05-15T18:19:24.043Z,"50km WSW of Alim, Philippines",earthquake
2014-05-15T09:48:13.910Z,35.0707,139.4079,122.55,4.8,mb,,118,1.761,0.75,us,usb000qnid,2014-05-15T17:50:57.730Z,"20km WSW of Miura, Japan",earthquake
2014-05-15T08:26:26.460Z,-20.5688,-178.1672,519.5,4.7,mb,,53,4.544,0.62,us,usb000qnh6,2014-05-15T16:29:06.525Z,"56km E of Ndoi Island, Fiji",earthquake
2014-05-15T08:16:34.950Z,6.5092,144.8994,10,6.6,mwp,,11,7.035,1.02,us,usb000qngw,2014-05-16T00:31:54.747Z,"96km SSE of Ifalik, Micronesia",earthquake
2014-05-15T04:32:30.100Z,-6.4178,154.8413,95.89,4.7,mb,,33,3.464,0.67,us,usb000qnf7,2014-05-15T12:36:04.691Z,"72km W of Panguna, Papua New Guinea",earthquake
2014-05-15T01:48:57.140Z,-5.6397,-80.8618,35,4.7,mb,,117,7.453,0.9,us,usb000qndw,2014-05-15T09:52:30.215Z,"10km SSW of Sechura, Peru",earthquake
2014-05-15T00:53:25.900Z,-33.7846,-70.2722,105.73,4.5,mb,,111,0.551,0.64,us,usb000qncl,2014-05-16T04:50:00.088Z,"34km ESE of Puente Alto, Chile",earthquake
2014-05-14T21:12:51.050Z,-8.3872,-76.0547,25.65,4.7,mb,,129,3.66,0.8,us,usb000qn4t,2014-05-15T05:15:29.169Z,"45km E of Uchiza, Peru",earthquake
2014-05-14T20:56:13.330Z,6.4585,144.8772,10.59,6.1,mwb,,28,7.085,0.68,us,usb000qn2z,2014-05-15T14:56:32.000Z,"99km SSE of Ifalik, Micronesia",earthquake
2014-05-14T18:47:03.140Z,5.042,-82.5667,23.28,4.5,mb,,83,4.911,1.14,us,usb000qmsx,2014-05-15T02:49:40.639Z,"South of Panama",earthquake
2014-05-14T17:29:43.360Z,12.9703,-88.8188,61.57,4.5,mb,,132,0.817,1.07,us,usb000qmmp,2014-05-16T04:52:21.314Z,"45km SW of Puerto El Triunfo, El Salvador",earthquake
2014-05-14T16:11:06.360Z,-5.0564,150.7279,216.94,4.8,mb,,68,1.669,0.6,us,usb000qmh7,2014-05-15T00:14:46.639Z,"84km NE of Kimbe, Papua New Guinea",earthquake
2014-05-14T09:46:14.980Z,7.3792,-82.3729,10,5,mb,,84,3.074,1.26,us,usb000qm11,2014-05-15T00:56:31.000Z,"90km SE of Punta de Burica, Panama",earthquake
2014-05-14T06:41:38.650Z,-5.8431,102.9054,36.22,4.8,mb,,89,1.473,1,us,usb000qlwv,2014-05-14T14:44:10.126Z,"130km SW of Kuripan, Indonesia",earthquake
2014-05-14T05:51:47.570Z,-19.6758,-71.0583,10,5.2,mb,,139,0.885,1.25,us,usb000qlw0,2014-05-15T17:36:07.000Z,"113km WNW of Iquique, Chile",earthquake
2014-05-14T05:28:25.140Z,7.6814,-82.32,10,5.1,mb,,79,2.865,1.4,us,usb000qlvl,2014-05-14T05:50:04.086Z,"71km ESE of Punta de Burica, Panama",earthquake
2014-05-14T03:38:21.090Z,-22.721,-66.4363,212.65,5.2,mb,,56,2.288,1.2,us,usb000qlti,2014-05-14T14:33:47.000Z,"75km W of Abra Pampa, Argentina",earthquake
2014-05-14T01:51:34.350Z,-27.4868,-178.9782,377.4,5,mb,,106,1.98,1.49,us,usb000qlrt,2014-05-14T09:54:00.510Z,"223km NNW of Raoul Island, New Zealand",earthquake
2014-05-13T23:44:20.390Z,1.0337,127.8951,10,4.6,mb,,102,0.588,0.7,us,usb000qlpe,2014-05-14T07:47:46.712Z,"60km ENE of Ternate, Indonesia",earthquake
2014-05-13T23:03:24.280Z,41.9673,142.4654,64.95,4.8,mb,,104,0.517,0.83,us,usb000qlnd,2014-05-14T13:59:07.334Z,"41km SSE of Shizunai, Japan",earthquake
2014-05-13T21:59:04.880Z,7.5512,-82.3443,10,4.6,mb,,155,2.954,1.3,us,usb000qljz,2014-05-13T23:19:18.132Z,"78km SE of Punta de Burica, Panama",earthquake
2014-05-13T19:33:57.730Z,-19.966,-71.0498,9.92,4.5,mwr,,145,0.946,0.93,us,usb000ql9s,2014-05-14T15:22:09.090Z,"98km WNW of Iquique, Chile",earthquake
