2014/5/17 14:35 UPDATE
ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
3888,19:00～20:00,5/16,17:30

予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
3120,19:00～20:00,5/16,17:30

DATE,TIME,当日実績(万kW),予測値（万kW)
2014/5/17,0:00,2531,0
2014/5/17,1:00,2410,0
2014/5/17,2:00,2370,0
2014/5/17,3:00,2353,0
2014/5/17,4:00,2315,0
2014/5/17,5:00,2268,0
2014/5/17,6:00,2322,0
2014/5/17,7:00,2449,0
2014/5/17,8:00,2642,0
2014/5/17,9:00,2816,0
2014/5/17,10:00,2856,0
2014/5/17,11:00,2873,0
2014/5/17,12:00,2835,0
2014/5/17,13:00,2865,0
2014/5/17,14:00,0,0
2014/5/17,15:00,0,0
2014/5/17,16:00,0,0
2014/5/17,17:00,0,0
2014/5/17,18:00,0,0
2014/5/17,19:00,0,0
2014/5/17,20:00,0,0
2014/5/17,21:00,0,0
2014/5/17,22:00,0,0
2014/5/17,23:00,0,0

翌日のピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻
,,,

翌日の予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
,,,

メッセージＮｏ,節電お願い文
,
,

DATE,TIME,当日実績（５分間隔値）(万kW)
2014/5/17,0:00,2614
2014/5/17,0:05,2608
2014/5/17,0:10,2579
2014/5/17,0:15,2551
2014/5/17,0:20,2541
2014/5/17,0:25,2524
2014/5/17,0:30,2519
2014/5/17,0:35,2513
2014/5/17,0:40,2498
2014/5/17,0:45,2494
2014/5/17,0:50,2474
2014/5/17,0:55,2460
2014/5/17,1:00,2449
2014/5/17,1:05,2448
2014/5/17,1:10,2437
2014/5/17,1:15,2420
2014/5/17,1:20,2407
2014/5/17,1:25,2399
2014/5/17,1:30,2403
2014/5/17,1:35,2401
2014/5/17,1:40,2403
2014/5/17,1:45,2382
2014/5/17,1:50,2381
2014/5/17,1:55,2397
2014/5/17,2:00,2400
2014/5/17,2:05,2395
2014/5/17,2:10,2372
2014/5/17,2:15,2366
2014/5/17,2:20,2380
2014/5/17,2:25,2385
2014/5/17,2:30,2376
2014/5/17,2:35,2370
2014/5/17,2:40,2353
2014/5/17,2:45,2348
2014/5/17,2:50,2355
2014/5/17,2:55,2344
2014/5/17,3:00,2358
2014/5/17,3:05,2348
2014/5/17,3:10,2371
2014/5/17,3:15,2357
2014/5/17,3:20,2368
2014/5/17,3:25,2365
2014/5/17,3:30,2347
2014/5/17,3:35,2322
2014/5/17,3:40,2328
2014/5/17,3:45,2363
2014/5/17,3:50,2363
2014/5/17,3:55,2349
2014/5/17,4:00,2345
2014/5/17,4:05,2346
2014/5/17,4:10,2345
2014/5/17,4:15,2342
2014/5/17,4:20,2345
2014/5/17,4:25,2329
2014/5/17,4:30,2304
2014/5/17,4:35,2289
2014/5/17,4:40,2297
2014/5/17,4:45,2287
2014/5/17,4:50,2272
2014/5/17,4:55,2281
2014/5/17,5:00,2264
2014/5/17,5:05,2275
2014/5/17,5:10,2269
2014/5/17,5:15,2278
2014/5/17,5:20,2273
2014/5/17,5:25,2246
2014/5/17,5:30,2243
2014/5/17,5:35,2268
2014/5/17,5:40,2265
2014/5/17,5:45,2283
2014/5/17,5:50,2278
2014/5/17,5:55,2277
2014/5/17,6:00,2284
2014/5/17,6:05,2289
2014/5/17,6:10,2303
2014/5/17,6:15,2307
2014/5/17,6:20,2307
2014/5/17,6:25,2308
2014/5/17,6:30,2316
2014/5/17,6:35,2329
2014/5/17,6:40,2342
2014/5/17,6:45,2357
2014/5/17,6:50,2350
2014/5/17,6:55,2365
2014/5/17,7:00,2372
2014/5/17,7:05,2398
2014/5/17,7:10,2417
2014/5/17,7:15,2430
2014/5/17,7:20,2424
2014/5/17,7:25,2438
2014/5/17,7:30,2428
2014/5/17,7:35,2470
2014/5/17,7:40,2498
2014/5/17,7:45,2496
2014/5/17,7:50,2495
2014/5/17,7:55,2525
2014/5/17,8:00,2561
2014/5/17,8:05,2567
2014/5/17,8:10,2548
2014/5/17,8:15,2608
